expected,actual,error
1,16385,1638400.0
2,16385,819150.0
3,16386,546100.0
4,16387,409575.0
5,16388,327660.0
6,16388,273033.3333333334
7,16390,234042.85714285716
8,16390,204775.0
9,16390,182011.1111111111
10,16390,163800.0
11,16392,148918.18181818182
12,16392,136500.0
13,16394,126007.69230769231
14,16394,117000.0
15,16395,109200.0
16,16394,102362.5
17,16396,96347.05882352941
18,16397,90994.44444444445
19,16397,86200.0
20,16398,81890.0
21,16398,77985.71428571429
22,16400,74445.45454545454
23,16399,71200.0
24,16399,68229.16666666666
25,16399,65496.0
26,16400,62976.92307692307
27,16404,60655.555555555555
28,16402,58478.571428571435
29,16404,56465.51724137931
30,16405,54583.333333333336
31,16406,52822.580645161295
32,16405,51165.625
33,16407,49618.181818181816
34,16405,48150.0
35,16407,46777.142857142855
36,16406,45472.222222222226
37,16409,44248.648648648654
38,16411,43086.84210526315
39,16411,41979.48717948718
40,16410,40925.0
41,16412,39929.26829268293
42,16412,38976.19047619047
43,16413,38069.767441860466
44,16418,37213.63636363636
45,16414,36375.555555555555
46,16414,35582.608695652176
47,16414,34823.40425531915
48,16415,34097.91666666667
49,16415,33400.0
50,16418,32736.0
51,16419,32094.11764705882
52,16420,31476.923076923078
53,16420,30881.132075471698
54,16418,30303.7037037037
55,16420,29754.545454545456
56,16421,29223.214285714283
57,16422,28710.526315789473
58,16422,28213.79310344827
59,16424,27737.28813559322
60,16422,27270.0
61,16427,26829.50819672131
62,16424,26390.32258064516
63,16426,25973.015873015873
64,16426,25565.625
65,16428,25173.846153846152
66,16430,24793.939393939392
67,16429,24420.89552238806
68,16432,24064.70588235294
69,16426,23705.797101449276
70,16432,23374.285714285714
71,16434,23046.478873239437
72,16435,22726.388888888887
73,16432,22409.58904109589
74,16434,22108.10810810811
75,16435,21813.333333333332
76,16434,21523.684210526317
77,16438,21248.05194805195
78,16433,20967.94871794872
79,16435,20703.79746835443
80,16437,20446.25
81,16438,20193.827160493827
82,16439,19947.560975609755
83,16440,19707.22891566265
84,16438,19469.047619047622
85,16443,19244.70588235294
86,16442,19018.60465116279
