expected,actual,error
1,11818,1181700.0
2,11818,590800.0
3,11819,393866.6666666666
4,11819,295375.0
5,11820,236300.0
6,11820,196900.0
7,11821,168771.42857142858
8,11821,147662.5
9,11821,131244.44444444444
10,11821,118109.99999999999
11,11823,107381.81818181818
12,11823,98425.0
13,11824,90853.84615384616
14,11824,84357.14285714286
15,11825,78733.33333333334
16,11824,73800.0
17,11825,69458.82352941176
18,11826,65600.0
19,11826,62142.10526315789
20,11827,59035.0
21,11827,56219.04761904762
22,11828,53663.63636363636
23,11828,51326.086956521736
24,11828,49183.33333333333
25,11828,47212.0
26,11829,45396.153846153844
27,11831,43718.51851851852
28,11830,42150.0
29,11831,40696.55172413793
30,11832,39340.0
31,11833,38070.967741935485
32,11832,36875.0
33,11833,35757.57575757576
34,11832,34700.0
35,11834,33711.42857142857
36,11833,32769.444444444445
37,11835,31886.486486486483
38,11836,31047.36842105263
39,11837,30251.28205128205
40,11836,29489.999999999996
41,11837,28770.73170731707
42,11837,28083.333333333332
43,11838,27430.232558139534
44,11841,26811.363636363636
45,11839,26208.88888888889
46,11839,25636.956521739132
47,11839,25089.36170212766
48,11840,24566.666666666664
49,11839,24061.224489795917
50,11842,23584.0
51,11842,23119.607843137255
52,11843,22675.0
53,11843,22245.283018867925
54,11841,21827.777777777777
55,11843,21432.727272727272
56,11844,21050.0
57,11844,20678.947368421053
58,11844,20320.689655172413
59,11846,19977.966101694914
60,11845,19641.666666666664
61,11848,19322.95081967213
62,11846,19006.451612903227
63,11847,18704.761904761905
64,11847,18410.9375
65,11849,18129.23076923077
66,11850,17854.545454545452
67,11850,17586.567164179105
68,11852,17329.41176470588
69,11847,17069.565217391304
70,11852,16831.428571428572
71,11853,16594.3661971831
72,11854,16363.888888888889
73,11852,16135.616438356163
74,11853,15917.567567567568
75,11854,15705.333333333334
76,11853,15496.052631578948
77,11856,15297.402597402597
78,11853,15096.153846153846
79,11854,14905.06329113924
80,11855,14718.75
81,11856,14537.037037037038
82,11857,14359.756097560976
83,11857,14185.542168674698
84,11856,14014.285714285714
85,11860,13852.94117647059
86,11859,13689.53488372093
87,11856,13527.586206896553
88,11857,13373.863636363638
89,11862,13228.08988764045
90,11861,13078.888888888889
91,11861,12934.065934065933
92,11862,12793.478260869566
93,11861,12653.763440860215
94,11861,12518.08510638298
95,11862,12386.315789473685
96,11865,12259.375
97,11865,12131.958762886597
98,11866,12008.163265306122
99,11861,11880.80808080808
100,11865,11765.0
101,11868,11650.49504950495
102,11866,11533.333333333332
103,11864,11418.446601941747
104,11867,11310.576923076922
105,11867,11201.904761904763
106,11870,11098.113207547169
107,11869,10992.523364485982
108,11868,10888.888888888889
109,11869,10788.990825688074
110,11872,10692.727272727272
111,11869,10592.792792792792
112,11869,10497.32142857143
113,11872,10406.194690265487
114,11872,10314.035087719298
115,11872,10223.478260869566
116,11871,10133.620689655172
117,11873,10047.863247863248
118,11876,9964.406779661018
119,11872,9876.470588235294
120,11876,9796.666666666666
121,11876,9714.876033057852
122,11874,9632.786885245901
123,11875,9554.471544715447
124,11879,9479.838709677419
125,11876,9400.8
126,11876,9325.396825396825
127,11878,9252.75590551181
128,11878,9179.6875
129,11879,9108.527131782945
130,11877,9036.153846153846
131,11881,8969.46564885496
132,11880,8900.0
133,11881,8833.082706766918
134,11880,8765.671641791045
135,11884,8702.962962962962
136,11882,8636.764705882353
137,11883,8573.722627737227
138,11881,8509.420289855072
139,11883,8448.920863309353
140,11884,8388.57142857143
141,11889,8331.91489361702
142,11885,8269.718309859156
143,11886,8211.888111888113
144,11886,8154.166666666667
145,11889,8099.310344827586
146,11888,8042.465753424658
147,11887,7986.39455782313
148,11890,7933.783783783784
149,11888,7878.523489932885
150,11888,7825.333333333333
151,11890,7774.172185430463
152,11891,7723.026315789474
153,11888,7669.934640522875
154,11893,7622.727272727273
155,11890,7570.967741935483
156,11889,7521.153846153847
157,11893,7475.15923566879
158,11890,7425.316455696202
159,11895,7381.132075471699
160,11894,7333.750000000001
161,11896,7288.819875776398
162,11896,7243.20987654321
163,11893,7196.319018404908
164,11896,7153.658536585365
165,11896,7109.696969696969
166,11896,7066.265060240964
167,11900,7025.748502994012
168,11900,6983.333333333333
169,11897,6939.644970414201
170,11902,6901.176470588236
171,11901,6859.649122807018
172,11900,6818.604651162791
173,11899,6778.0346820809245
174,11901,6739.6551724137935
175,11904,6702.285714285715
176,11901,6661.931818181819
177,11904,6625.42372881356
178,11902,6586.516853932583
179,11901,6548.6033519553075
180,11906,6514.444444444444
181,11906,6477.900552486188
182,11907,6442.307692307692
183,11906,6406.0109289617485
184,11909,6372.282608695652
185,11909,6337.2972972972975
186,11909,6302.68817204301
187,11905,6266.310160427807
188,11906,6232.978723404256
189,11907,6200.0
190,11906,6166.315789473684
191,11908,6134.55497382199
192,11908,6102.083333333334
193,11911,6071.5025906735755
194,11911,6039.690721649485
195,11908,6006.666666666667
196,11910,5976.530612244897
197,11910,5945.685279187817
198,11912,5916.161616161616
199,11915,5887.437185929648
200,11914,5857.0
201,11916,5828.358208955224
202,11918,5800.0
203,11912,5767.980295566503
204,11914,5740.196078431372
205,11917,5713.170731707317
206,11916,5684.466019417476
207,11915,5656.038647342995
208,11916,5628.846153846154
209,11917,5601.913875598086
210,11920,5576.190476190476
211,11918,5548.341232227488
212,11920,5522.641509433962
213,11920,5496.244131455399
214,11919,5469.626168224299
215,11920,5444.186046511628
216,11924,5420.37037037037
217,11923,5394.47004608295
218,11922,5368.807339449541
219,11923,5344.292237442923
220,11923,5319.545454545455
221,11924,5295.475113122172
222,11924,5271.171171171171
223,11922,5246.188340807175
224,11923,5222.767857142857
225,11928,5201.333333333334
226,11923,5175.66371681416
227,11930,5155.506607929515
228,11927,5131.140350877193
229,11929,5109.170305676856
230,11929,5086.521739130435
231,11931,5064.935064935065
232,11928,5041.379310344828
233,11930,5020.171673819743
234,11926,4996.581196581196
235,11928,4975.744680851064
236,11931,4955.5084745762715
237,11933,4935.021097046413
238,11935,4914.705882352941
239,11932,4892.468619246862
240,11935,4872.916666666666
241,11936,4852.697095435685
242,11932,4830.578512396694
243,11934,4811.111111111111
244,11932,4790.163934426229
245,11933,4770.6122448979595
246,11932,4750.406504065041
247,11934,4731.578947368421
248,11936,4712.903225806452
249,11935,4693.172690763052
250,11939,4675.6
251,11939,4656.573705179283
252,11937,4636.904761904762
253,11942,4620.158102766798
254,11941,4601.181102362205
255,11938,4581.56862745098
256,11941,4564.453125
257,11941,4546.303501945526
258,11944,4529.457364341085
259,11942,4510.810810810811
260,11941,4492.692307692308
261,11945,4476.628352490422
262,11940,4457.251908396946
263,11947,4442.585551330799
264,11942,4423.484848484848
265,11942,4406.415094339623
266,11948,4391.729323308271
267,11942,4372.6591760299625
268,11949,4358.582089552239
269,11948,4341.635687732342
270,11946,4324.444444444444
271,11947,4308.487084870849
272,11947,4292.279411764705
273,11951,4277.655677655677
274,11948,4260.58394160584
275,11954,4246.909090909091
276,11949,4229.347826086956
277,11951,4214.440433212996
278,11953,4199.640287769784
279,11948,4182.437275985663
280,11948,4167.142857142857
281,11958,4155.516014234875
282,11953,4138.652482269504
283,11952,4123.3215547703185
284,11955,4109.507042253521
285,11958,4095.789473684211
286,11953,4079.370629370629
287,11954,4065.1567944250874
288,11954,4050.6944444444443
289,11955,4036.6782006920416
290,11959,4023.7931034482754
291,11955,4008.2474226804125
292,11959,3995.5479452054797
293,11959,3981.5699658703074
294,11957,3967.006802721088
295,11960,3954.237288135593
296,11958,3939.8648648648646
297,11960,3926.936026936027
298,11960,3913.422818791946
299,11962,3900.66889632107
300,11965,3888.3333333333335
301,11965,3875.0830564784055
302,11963,3861.258278145695
303,11963,3848.184818481848
304,11970,3837.5
305,11963,3822.295081967213
306,11964,3809.8039215686276
307,11965,3797.394136807818
308,11969,3786.038961038961
309,11962,3771.1974110032365
310,11963,3759.0322580645166
311,11970,3748.874598070739
312,11970,3736.5384615384614
313,11967,3723.3226837060706
314,11966,3710.8280254777073
315,11973,3700.952380952381
316,11972,3688.607594936709
317,11970,3676.0252365930596
318,11971,3664.4654088050315
319,11972,3652.978056426333
320,11966,3639.3749999999995
321,11976,3630.8411214953276
322,11974,3618.6335403726707
323,11972,3606.501547987616
324,11973,3595.3703703703704
325,11972,3583.6923076923076
326,11977,3573.9263803680983
327,11973,3561.467889908257
328,11976,3551.219512195122
329,11976,3540.1215805471124
330,11978,3529.6969696969695
331,11976,3518.1268882175223
332,11980,3508.4337349397592
333,11978,3496.9969969969966
334,11975,3485.329341317365
335,11975,3474.6268656716416
336,11975,3463.988095238095
337,11981,3455.192878338279
338,11981,3444.6745562130177
339,11982,3434.5132743362833
340,11980,3423.529411764706
341,11982,3413.7829912023462
342,11984,3404.093567251462
343,11984,3393.877551020408
344,11985,3384.0116279069766
345,11987,3374.4927536231885
346,11983,3363.2947976878613
347,11982,3353.0259365994234
348,11987,3344.540229885057
349,11986,3334.3839541547277
350,11990,3325.714285714286
351,11985,3314.529914529915
352,11987,3305.3977272727275
353,11992,3297.167138810198
354,11990,3287.005649717514
355,11990,3277.4647887323945
356,11991,3268.2584269662916
357,11987,3257.703081232493
358,11990,3249.162011173184
359,11995,3241.2256267409466
360,11993,3231.388888888889
361,11992,3221.883656509695
362,11993,3212.9834254143643
363,11992,3203.5812672176307
364,11993,3194.78021978022
365,11990,3184.931506849315
366,11992,3176.502732240437
367,11997,3168.9373297002726
368,11994,3159.2391304347825
369,11990,3149.3224932249323
370,11996,3142.162162162162
371,11993,3132.6145552560647
372,11996,3124.7311827956987
373,11999,3116.8900804289547
374,11994,3106.951871657754
375,12002,3100.5333333333333
376,11995,3090.159574468085
377,11996,3081.9628647214854
378,12000,3074.603174603175
