expected,actual,error
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,60,-1.639344262295082
62,61,-1.6129032258064515
63,63,0.0
64,64,0.0
65,64,-1.5384615384615385
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,73,-1.3513513513513513
75,75,0.0
76,76,0.0
77,77,0.0
78,78,0.0
79,78,-1.2658227848101267
80,80,0.0
81,80,-1.2345679012345678
82,81,-1.2195121951219512
83,83,0.0
84,84,0.0
85,84,-1.1764705882352942
86,86,0.0
87,87,0.0
88,87,-1.1363636363636365
89,88,-1.1235955056179776
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.0
94,92,-2.127659574468085
95,95,0.0
96,95,-1.0416666666666665
97,97,0.0
98,98,0.0
99,99,0.0
100,100,0.0
101,101,0.0
102,102,0.0
103,103,0.0
104,104,0.0
105,105,0.0
106,106,0.0
107,107,0.0
108,108,0.0
109,109,0.0
110,110,0.0
111,110,-0.9009009009009009
112,112,0.0
113,113,0.0
114,114,0.0
115,113,-1.7391304347826086
116,116,0.0
117,117,0.0
118,118,0.0
119,118,-0.8403361344537815
120,120,0.0
121,121,0.0
122,121,-0.819672131147541
123,122,-0.8130081300813009
124,124,0.0
125,125,0.0
126,125,-0.7936507936507936
127,127,0.0
128,129,0.78125
129,130,0.7751937984496124
130,129,-0.7692307692307693
131,130,-0.7633587786259541
132,133,0.7575757575757576
133,134,0.7518796992481203
134,134,0.0
135,136,0.7407407407407408
136,137,0.7352941176470588
137,138,0.7299270072992701
138,139,0.7246376811594203
139,139,0.0
140,141,0.7142857142857143
141,142,0.7092198581560284
142,142,0.0
143,142,-0.6993006993006993
144,143,-0.6944444444444444
145,146,0.6896551724137931
146,144,-1.36986301369863
147,148,0.6802721088435374
148,149,0.6756756756756757
149,148,-0.6711409395973155
150,150,0.0
151,152,0.6622516556291391
152,152,0.0
153,153,0.0
154,154,0.0
155,156,0.6451612903225806
156,156,0.0
157,157,0.0
158,158,0.0
159,158,-0.628930817610063
160,161,0.625
161,160,-0.6211180124223602
162,163,0.6172839506172839
163,163,0.0
164,164,0.0
165,166,0.6060606060606061
166,167,0.6024096385542169
167,168,0.5988023952095809
168,169,0.5952380952380952
169,169,0.0
170,170,0.0
171,171,0.0
172,173,0.5813953488372093
173,173,0.0
174,175,0.5747126436781609
175,176,0.5714285714285714
176,177,0.5681818181818182
177,178,0.5649717514124294
178,179,0.5617977528089888
179,180,0.5586592178770949
180,181,0.5555555555555556
181,182,0.5524861878453038
182,180,-1.098901098901099
183,184,0.546448087431694
184,185,0.5434782608695652
185,186,0.5405405405405406
186,187,0.5376344086021506
187,187,0.0
188,187,-0.5319148936170213
189,189,0.0
190,190,0.0
191,190,-0.5235602094240838
192,192,0.0
193,193,0.0
194,193,-0.5154639175257731
195,193,-1.0256410256410255
196,195,-0.5102040816326531
197,196,-0.5076142131979695
198,199,0.5050505050505051
199,199,0.0
200,201,0.5
201,201,0.0
202,203,0.49504950495049505
203,202,-0.49261083743842365
204,205,0.49019607843137253
205,206,0.4878048780487805
206,207,0.48543689320388345
207,208,0.4830917874396135
208,206,-0.9615384615384616
209,210,0.4784688995215311
210,207,-1.4285714285714286
211,211,0.0
212,211,-0.4716981132075472
213,213,0.0
214,213,-0.46728971962616817
215,213,-0.9302325581395349
216,216,0.0
217,218,0.4608294930875576
218,214,-1.834862385321101
219,217,-0.91324200913242
220,219,-0.45454545454545453
221,220,-0.4524886877828055
222,217,-2.2522522522522523
223,218,-2.242152466367713
224,226,0.8928571428571428
225,226,0.4444444444444444
226,227,0.4424778761061947
227,228,0.4405286343612335
228,230,0.8771929824561403
229,231,0.8733624454148471
230,231,0.43478260869565216
231,233,0.8658008658008658
232,231,-0.43103448275862066
233,233,0.0
234,231,-1.282051282051282
235,236,0.425531914893617
236,235,-0.423728813559322
237,238,0.42194092827004215
238,239,0.42016806722689076
239,240,0.41841004184100417
240,242,0.8333333333333334
241,241,0.0
242,242,0.0
243,243,0.0
244,245,0.4098360655737705
245,245,0.0
246,244,-0.8130081300813009
247,247,0.0
248,250,0.8064516129032258
249,245,-1.6064257028112447
250,252,0.8
251,251,0.0
252,251,-0.3968253968253968
253,255,0.7905138339920948
254,254,0.0
255,251,-1.5686274509803921
256,257,0.390625
257,259,0.7782101167315175
258,258,0.0
259,260,0.3861003861003861
260,260,0.0
261,260,-0.38314176245210724
262,261,-0.38167938931297707
263,263,0.0
264,262,-0.7575757575757576
265,265,0.0
266,267,0.37593984962406013
267,266,-0.37453183520599254
268,269,0.3731343283582089
269,267,-0.7434944237918215
270,266,-1.4814814814814816
271,271,0.0
272,272,0.0
273,273,0.0
274,271,-1.094890510948905
275,276,0.36363636363636365
276,277,0.36231884057971014
277,278,0.36101083032490977
278,279,0.3597122302158274
279,277,-0.7168458781362007
280,280,0.0
281,281,0.0
282,281,-0.3546099290780142
283,283,0.0
284,286,0.7042253521126761
285,283,-0.7017543859649122
286,285,-0.34965034965034963
287,284,-1.0452961672473868
288,291,1.0416666666666665
289,288,-0.34602076124567477
290,292,0.6896551724137931
291,292,0.3436426116838488
292,292,0.0
293,293,0.0
294,295,0.3401360544217687
295,296,0.3389830508474576
296,295,-0.33783783783783783
297,298,0.33670033670033667
298,298,0.0
299,299,0.0
300,301,0.33333333333333337
301,299,-0.6644518272425249
302,304,0.6622516556291391
303,305,0.6600660066006601
304,306,0.6578947368421052
305,307,0.6557377049180327
306,306,0.0
307,306,-0.32573289902280134
308,310,0.6493506493506493
309,307,-0.6472491909385114
310,310,0.0
311,311,0.0
312,315,0.9615384615384616
313,315,0.6389776357827476
314,314,0.0
315,315,0.0
316,319,0.949367088607595
317,319,0.6309148264984227
318,319,0.3144654088050315
319,317,-0.6269592476489028
320,317,-0.9375
321,319,-0.6230529595015576
322,324,0.6211180124223602
323,322,-0.30959752321981426
324,323,-0.30864197530864196
325,324,-0.3076923076923077
326,328,0.6134969325153374
327,323,-1.2232415902140672
328,327,-0.3048780487804878
329,328,-0.303951367781155
330,330,0.0
331,329,-0.6042296072507553
332,333,0.30120481927710846
333,333,0.0
334,335,0.29940119760479045
